program,university,country,publicPrivate,track,language,tuitionIntl,scholarshipName,fundingLevel,stipendCoverage,tunisianEligible,portfolioReq,entryRequirements,applicationOpens,deadline,sourceUrl,fitNotes,verified,verificationNotes
MSc Sound and Music Computing,"Queen Mary University of London (Centre for Digital Music, C4DM)",United Kingdom,Public,Sound/Music-Tech,English,"UNVERIFIED (aggregators conflict ~£15,750-£28,900/yr; confirm on official fees page)",None course-specific found (Chevening-eligible),None (self-pay; Chevening possible),UNVERIFIED,Y,N,Related discipline degree (CS/engineering/maths ideal); signal-processing/programming aptitude; IELTS to QMUL standard (confirm on page),UNVERIFIED,UNVERIFIED (rolling; confirm Sept-2027 cycle),https://www.qmul.ac.uk/postgraduate/taught/coursefinder/courses/sound-and-music-computing-msc/,"STRONGEST fit for a CS/software grad wanting audio DSP + coding; C4DM is a world-leading audio research centre; no portfolio needed, so English test is the main gate.",Unverified,verification agent returned nothing
MSc Audio and Music Technology,University of York,United Kingdom,Public,Sound/Music-Tech,English,"GBP 32,900 (full 1-yr, verified on page)",Chevening (external); York alumni 10% discount; School PET subject scholarships,Partial (fee discounts) / None internally; Full via Chevening,UNVERIFIED,Y,N,"2:2 or equivalent in music/music tech OR relevant tech/maths/science/engineering/computing; IELTS 6.0 (5.5 each), TOEFL 79 accepted",UNVERIFIED,UNVERIFIED (apply anytime; confirm Sept-2027 cycle),https://www.york.ac.uk/study/postgraduate-taught/courses/msc-audio-music-technology/,"Excellent CS-friendly fit: audio programming, DSP, acoustics; AudioLab links to Google/Abbey Road/BBC. No portfolio; software background counts. High intl tuition though.",Unverified,verification agent returned nothing
MMus Music (music technology / studio techniques / creative music technology pathways),University of Surrey,United Kingdom,Public,Sound/Music-Tech,English,"GBP 22,700 (full-time 1yr, verified)",None course-specific verified (Chevening-eligible),None internally verified; Full via Chevening,UNVERIFIED,Y,Y,"2:1 in relevant subject; portfolio incl. 2,000-word writing sample plus electronic productions/compositions; IELTS 6.5 (6.0 each)",UNVERIFIED,"24 July 2026 (overseas, 2026 entry) - PRIOR CYCLE - confirm new date for Sept 2027",https://www.surrey.ac.uk/postgraduate/music-mmus,Surrey is the Tonmeister/IoSR home (strong sound-recording reputation) but the taught MMus is arts-leaning and needs an artistic portfolio; note the Tonmeister degree itself is UNDERGRAD-only. Good if he can show production work.,Unverified,verification agent returned nothing
MSc/PgDip Audio Production,University of Salford,United Kingdom,Public,Acoustics/Audio-Eng,English,"GBP 17,520/yr (2026/27), GBP 18,000/yr (2027/28) - verified",Salford international scholarships (generic),Partial (merit scholarships) / None; Full via Chevening,UNVERIFIED,Y,Check (not required for entry; build one during course),Second-class honours with significant audio technology/production content; IELTS 6.0 (5.5 each),Open for Sept 2027 (verified intake exists),UNVERIFIED (Sept 2026 and Sept 2027 intakes open; no fixed date given),https://www.salford.ac.uk/courses/postgraduate/audio-production,Practical studio/audio-production focus with published Sept-2027 fees (rare this early). Lower tuition than York/QMUL. Solid production-skills route; entry expects some audio content in the prior degree.,Unverified,verification agent returned nothing
MSc Digital Audio Engineering,University of West London (UWL / London College of Music),United Kingdom,Public,Acoustics/Audio-Eng,English,UNVERIFIED (official page blocked; confirm directly),UNVERIFIED,UNVERIFIED (self-pay; Chevening possible),UNVERIFIED,Y,Check,UNVERIFIED - listed for engineering / music technology / computer science backgrounds (good CS fit); confirm IELTS on page,UNVERIFIED,UNVERIFIED,https://www.uwl.ac.uk/course/postgraduate/digital-audio-engineering,Explicitly welcomes computer-science backgrounds into digital audio systems - strong CS-to-audio bridge. Could not verify fees/deadline (site returned 403); confirm on UWL page directly.,Unverified,verification agent returned nothing
MA Advanced Music Technology,University of West London (UWL / London College of Music),United Kingdom,Public,Sound-Design/Production,English,UNVERIFIED (official page blocked; confirm directly),UNVERIFIED,UNVERIFIED (self-pay; Chevening possible),UNVERIFIED,Y,Check (likely Y for creative production),"UNVERIFIED - industry-focused, blends hands-on production with conceptual/creative practice; confirm IELTS",UNVERIFIED,UNVERIFIED,https://www.uwl.ac.uk/course/postgraduate/advanced-music-technology,Creative/production-oriented (contemporary audio practice) - closer to the DJ/producer goal than pure engineering. Fees/portfolio not verifiable (site 403); confirm directly.,Unverified,verification agent returned nothing
MA Music Industry Management and Artist Development,University of West London (UWL / London College of Music),United Kingdom,Public,Music-Business,English,UNVERIFIED (official page blocked; confirm directly),UNVERIFIED,UNVERIFIED (self-pay; Chevening possible),UNVERIFIED,Y,Check,UNVERIFIED - covers managing/developing a music career + entrepreneurial skills; confirm IELTS,UNVERIFIED,UNVERIFIED,https://www.uwl.ac.uk/course/postgraduate/music-industry-management-and-artist-development,"Directly targets artist development + industry networking, useful for a DJ/producer building a career and label/management knowledge. Fees not verifiable (site 403).",Unverified,verification agent returned nothing
MA Music Management,University of Leeds,United Kingdom,Public,Music-Business,English,"GBP 32,500 (full programme, verified)",Leeds international scholarships; School of Music subject scholarships,Partial / None; Full via Chevening,UNVERIFIED,Y,N (supporting statement instead),2:1 in Music or Business/related; IELTS 6.5 (6.0 each); professional experience may substitute,UNVERIFIED,UNVERIFIED (see How to Apply; confirm Sept-2027 cycle),https://courses.leeds.ac.uk/j849/music-management-ma,"Practical, industry-linked (live briefs, Global Industry Programme, joint with Leeds Business School); no portfolio. Good music-business network route, but expensive intl fee.",Unverified,verification agent returned nothing
MA Music Business Management,University of Westminster,United Kingdom,Public,Music-Business,English,"GBP 16,000/yr (verified) - among the lower London fees",Richard Antwi Scholarship (HOME/BME students only - not intl); general PG scholarships,None for intl on the named scholarship; Full via Chevening,UNVERIFIED,Y,N,2:1 or 2:2 in relevant degree (non-grads with industry experience considered); 'some experience of working in the music industry' expected; IELTS 6.0 at apply / 6.5 at start,UNVERIFIED,UNVERIFIED (see How to Apply; confirm Sept-2027 cycle),https://www.westminster.ac.uk/music-courses/2026-27/september/full-time/music-business-management-ma,London location + relatively affordable intl fee; strong for music-business/industry knowledge. Note the flagship scholarship excludes international students; expects some prior industry exposure.,Unverified,verification agent returned nothing
MSc Sound Design,University of Edinburgh (Edinburgh College of Art),United Kingdom,Public,Sound-Design/Production,English,UNVERIFIED (fee shown via programme-code link; confirm on page),Edinburgh College of Art scholarships; alumni 10% discount (Chevening-eligible),Partial / None; Full via Chevening,UNVERIFIED,Y,Y (minimum 3 pieces of sound-design work),UK 2:1 or intl equivalent in relevant subject; IELTS 6.5 (6.0 each); portfolio of 3+ sound works,Usually October (verified pattern),Round 1 15 Dec 2025 / Round 2 4 May 2026 (2026 entry) - PRIOR CYCLE - confirm new date for Sept 2027; opens ~October,https://study.ed.ac.uk/programmes/postgraduate-taught/51-sound-design,"Interdisciplinary (film sound, game audio, installation) - creative sound-design leaning. Requires an artistic portfolio, so needs sample work built first. Prestigious university.",Unverified,verification agent returned nothing
MA Music Business,"Institute of Contemporary Music Performance (ICMP), London",United Kingdom,Private (specialist music college),Music-Business,English,"GBP 14,000 (overseas PG, from ICMP fees page)",PG master's loan (UK only); scholarships/bursaries page (EU/EEA-focused),None for intl verified; Full via Chevening,UNVERIFIED,Y,N (interview required),Good honours degree (2:1/1st) or equivalent; all academic backgrounds welcome; personal statement + interview; English B2/CEFR,UNVERIFIED,UNVERIFIED (start 14 Sept 2026; confirm Sept-2027),https://www.icmp.ac.uk/course/ma-music-business,"Specialist music-industry college with strong network; welcomes any background (CS fine); interview not portfolio. Relatively low fee. Note: private college, funding is thin for intl.",Unverified,verification agent returned nothing
MMus Popular Music Performance,"Institute of Contemporary Music Performance (ICMP), London",United Kingdom,Private (specialist music college),Sound-Design/Production,English,"GBP 14,000 (overseas PG, from ICMP fees page)",EU scholarships (not intl); PG master's loan (UK only),None for intl verified; Full via Chevening,UNVERIFIED,Y,Y (audition/practice-based; confirm),Instrumental performance experience as basis for practice research; audition/portfolio likely; English B2/CEFR,UNVERIFIED,UNVERIFIED (confirm Sept-2027 intake),https://www.icmp.ac.uk/course/masters-in-music-performance,Performance/practice-research focus; more for instrumentalists than producers/DJs - weaker direct fit unless he frames DJ/production as practice research. Requires performance portfolio.,Unverified,verification agent returned nothing
MSc Music Technology and Sound Production,University of Huddersfield,United Kingdom,Public,Sound/Music-Tech,English,UNVERIFIED (confirm on official course page),UNVERIFIED (university international scholarships likely),UNVERIFIED (self-pay; Chevening possible),UNVERIFIED,Y,Check,UNVERIFIED - aimed at music-technology graduates developing technical/practical skills; confirm degree + IELTS,UNVERIFIED,UNVERIFIED,https://www.hud.ac.uk/subjects/music-technology/,One of the UK's largest music-tech PG communities; technical + practical production skills. Direct course URL 404'd during check - verify current page via the subject hub before applying.,Unverified,verification agent returned nothing
MSc Media and Arts Technology,Queen Mary University of London,United Kingdom,Public,Sound/Music-Tech,English,UNVERIFIED (confirm on QMUL fees page),UNVERIFIED (Chevening-eligible),UNVERIFIED (self-pay; Chevening possible),UNVERIFIED,Y,Check,UNVERIFIED - combines creative computing + HCI for the creative sector; strong CS fit; confirm degree/IELTS,UNVERIFIED,UNVERIFIED,https://mat.qmul.ac.uk/programmes/masters-programme/,Creative-computing bridge (HCI + digital innovation for creative industries) - good secondary CS-fit option alongside QMUL's Sound & Music Computing. Verify fees/portfolio on QMUL site.,Unverified,verification agent returned nothing
"MA in Music, Science, and Technology (MA/MST, CCRMA)",Stanford University (Dept. of Music / CCRMA),USA,Private,Sound/Music-Tech,English,UNVERIFIED (Stanford graduate tuition is high),None guaranteed (occasional fellowship/TA),None,Funding is quite limited; department/center do NOT typically fund MA/MST students; occasional fellowship or TA funding for eligible students - UNVERIFIED amounts,Y,"Y - evidence of accomplishment (scores, recordings and/or research papers) due with application","Undergrad in engineering, science, music, or arts, or degree with engineering-math coursework; writing sample required; GRE optional; two-year degree",Late September / early October (per Music dept.),Second Tuesday in December (per official page; PRIOR CYCLE - confirm new date). $125 filing fee,https://music.stanford.edu/academics/graduate-studies/graduate-programs/ma-music-science-and-technology,"Elite audio-DSP/computer-music research hub (CCRMA); great for CS background, but self-fund risk is high - only pursue with Fulbright/external funding.",Unverified,verification agent returned nothing
MS in Music and Technology,"Carnegie Mellon University (School of Music, College of Fine Arts)",USA,Private,Sound/Music-Tech,English,UNVERIFIED,UNVERIFIED (CFA/School of Music funding - confirm),UNVERIFIED,UNVERIFIED,Y,Y - portfolio + portfolio-review interview with Music & Technology faculty panel,"Bachelor's, desired GPA 3.0; 21 months/4 semesters; personal statement (650 words); Music Resume/CV; non-native English speakers submit TOEFL/IELTS/Duolingo; GRE optional",UNVERIFIED,December 1 (portfolio due; references by Jan 5; decisions Mar 15) (PRIOR CYCLE - confirm new date). $125 app/audition fee,https://www.cmu.edu/cfa/music/apply/audition-portfolio-review/requirements-by-area/music-technology-audition-requirements.html,Strong CS/engineering-friendly music-tech program at a top computing school; good research and interdisciplinary fit. Confirm funding availability.,Unverified,verification agent returned nothing
"MFA in Music Technology: Interaction, Intelligence, and Design (MTIID)",California Institute of the Arts (CalArts),USA,Private (arts conservatory),Sound/Music-Tech,English,UNVERIFIED,UNVERIFIED (CalArts merit scholarships - confirm),UNVERIFIED,UNVERIFIED,Y,"Y - portfolio of 3-5 works (compositions, performances, software/code, hardware schematics, a designed new musical interface); no formal audition",2-year MFA; strong preference for math/CS/physics/engineering background; email brief background to program (akapur@calarts.edu) before applying; artist statement 250-500 words; 3 recommendation letters; 60-90 sec intro video; possible virtual interview,UNVERIFIED,UNVERIFIED (confirm CalArts MFA deadline for the cycle),https://calarts.edu/apply/mfa-music-tech,"Great creative-technical fit: explicitly favors CS/engineering applicants, covers electronic composition, interactive/immersive audio, software/hardware for instruments - strong for a producer building novel tools. Confirm funding.",Unverified,verification agent returned nothing
MS in Music Industry,University of Southern California (USC Thornton School of Music),USA,Private,Music-Business,English,UNVERIFIED,UNVERIFIED (merit awards - confirm with Thornton),UNVERIFIED,UNVERIFIED,Y,N - no audition; SlideRoom supplemental materials (essays/video) instead,Bachelor's (not USC Music Industry BS holders); SOP 400-550 words + 2 short essays + 1-min video (2 prompts) + resume + >=1 recommendation; English test required for non-native speakers; NO audition,UNVERIFIED,December 1 (fall only) (PRIOR CYCLE - confirm new date). $105 USC app + $25 SlideRoom fee,https://music.usc.edu/admission/appreqs/music-industry-graduate/,"Track-2 business fit in LA (major music market) - strong industry network for artist/producer career. No portfolio barrier; verify funding, which is limited for this program.",Unverified,verification agent returned nothing
MA in Media Arts (Performing Arts Technology),"University of Michigan (School of Music, Theatre & Dance)",USA,Public,Sound/Music-Tech,English,UNVERIFIED,UNVERIFIED (SMTD funding/assistantships - confirm),UNVERIFIED,UNVERIFIED,Y,Y - portfolio/creative work required (per SMTD graduate audition/portfolio requirements),"Bachelor's; CV (education, research/professional experience, recordings/performances, awards); 2-3 page academic statement of purpose; artistic + academic review; contact PAT Director of Graduate Studies for program-specific portfolio details",UNVERIFIED,December 10 (Fall only; no mid-year) (PRIOR CYCLE - confirm new date),https://smtd.umich.edu/department/performing-arts-technology/,Research/creative music-technology program at a strong public research university; good for CS-leaning applicant. Confirm portfolio specifics and funding directly with PAT.,Unverified,verification agent returned nothing
MA in Audio Sciences: Recording Arts and Sciences,Johns Hopkins University (Peabody Institute),USA,Private (conservatory within JHU),Acoustics/Audio-Eng,English,"Approx. USD 56,313 first-year tuition (per third-party source; confirm on official Peabody/JHU page) - UNVERIFIED official",UNVERIFIED (scholarship info not published for this MA - confirm with Peabody),UNVERIFIED,UNVERIFIED,Y,Y - portfolio demonstrating range of live/studio recording experience,"Undergrad degree in architecture, audio technology, computer science, electrical/mechanical engineering, physics, or recording sciences; undergrad physics + calculus preferred; program for those with science/engineering/music background seeking advanced audio training",UNVERIFIED,UNVERIFIED (confirm on Peabody admissions page),https://e-catalogue.jhu.edu/peabody/degree-diploma-programs/audio-sciences-recording-production-master-arts/,Engineering/acoustics-heavy audio program well-suited to a software-engineering grad; heavy on recording science rather than DJ/production. High tuition - would need Fulbright/external funding.,Unverified,verification agent returned nothing
"Master of Music — Music Design pathway (strands: Music Technology, Sound Design, Music Production, Composition)",HKU University of the Arts Utrecht,Netherlands,Conservatory,Sound/Music-Tech,English,UNVERIFIED (institutional non-EEA rate; HKU notes it may rise; use HKU fee calculator),Possibly NL/Holland Scholarship (confirm HKU participation),UNVERIFIED,UNVERIFIED,Y,Y,Completed bachelor in composition/music production/music technology/sound design or equivalent professional experience; portfolio in round 1 + online interview; English required (specific IELTS/TOEFL on separate enrolment page),1 October (for 2027-2028 cycle),"2027-2028 upload rounds: 24 Nov 2026, 12 Jan 2027, 16 Feb 2027, 13 Apr 2027; non-EEA advised to apply before 1 Apr 2027 for immigration",https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design,Strongest primary-track fit: hands-on music production + sound/audio tech at a conservatory; CS background is an asset for the tech strand. Portfolio-gated and taught in English.,Unverified,verification agent returned nothing
Master of Music in Immersive Audio,Conservatorium van Amsterdam (Amsterdam University of the Arts),Netherlands,Conservatory,Sound-Design/Production,English,UNVERIFIED (not stated on program page),None found on page,UNVERIFIED,UNVERIFIED,Y,Y,Bachelor in music or sound engineering/music technology; significant professional audio-engineering experience; Pro Tools/Ableton proficiency. Stage 1 portfolio (min. 3 stereo recordings) + Stage 2 live 10-min Pro Tools mix test + interview,UNVERIFIED,UNVERIFIED (2-year program; confirm on official admissions page),https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/immersive-audio/,"Deep audio-engineering / mixing focus. Demands substantial prior pro audio experience, so may be a stretch straight out of a software-engineering BSc unless production portfolio is strong.",Unverified,verification agent returned nothing
"Master of Arts — Music Studies (Arts and Culture), specialisation Cognitive & Computational Musicology",University of Amsterdam (UvA),Netherlands,Public,Sound/Music-Tech,English,UNVERIFIED (non-EU rate not on program page; check UvA tuition page),Holland/NL Scholarship (UvA participates); Amsterdam Merit/Excellence scholarships,"Partial (NL Scholarship €5,000)",Partial tuition offset only,Y,N,"Relevant bachelor; English proficiency (IELTS/TOEFL) required; academic/musicology orientation. Computational musicology taught via UvA Institute for Logic, Language and Computation",UNVERIFIED,PRIOR CYCLE - confirm new date (non-EU deadline on UvA application page; starts September),https://www.uva.nl/en/programmes/masters/music-studies-arts-and-culture/music-studies.html,"Academic/computational rather than production-focused; CS background fits the computational-musicology angle, but this is theory-heavy and not a DJ/producer training program.",Unverified,verification agent returned nothing
Master of Media,RMIT University,Australia,Public,Sound-Design/Production,English,"AU$43,200 per year (2026 indicative)",RMIT international merit scholarships (check),None (Australia Awards not open to Tunisia),N/A,Y (program admission); no fully-funded national scheme for Tunisians,Check (portfolio central to coursework; not stated as mandatory entry criterion),"Bachelor degree or equivalent, OR 3+ years relevant professional experience (with CV + statement); IELTS Academic 6.5 overall, no band below 6.0",Rolling; intakes February and July,PRIOR CYCLE - confirm new date (Feb 2027 and Jul 2027 intakes; apply via RMIT online system),https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-media-mc188,Covers audio + cross-media production and industry projects/network in Melbourne. Broad media focus rather than pure music production; self-pay likely as no full funding for Tunisians.,Unverified,verification agent returned nothing
Master of Arts (Arts Management),RMIT University,Australia,Public,Music-Business,English,"AU$41,280 per year (2026)",RMIT international scholarships (check),None (no full-funding scheme for Tunisians),N/A,Y (program admission),N,"Australian bachelor or equivalent overseas qualification, OR 5+ years relevant work experience; IELTS Academic 6.5 (no band <6.0), TOEFL iBT 79, PTE 58",Rolling; intakes February and July,PRIOR CYCLE - confirm new date (Feb 2027 / Jul 2027 intakes),https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-arts-arts-management-mc280,"Secondary-track (business) fit: arts marketing, festivals/events, cultural-industries management — useful for the music-business/industry-network side of a DJ/producer career. No music-production content.",Unverified,verification agent returned nothing
Master of Interaction Design and Electronic Arts (Audio and Acoustics),University of Sydney,Australia,Public,Acoustics/Audio-Eng,English,"UNVERIFIED (course page did not load; USYD postgraduate international fees generally ~AUD 52,000-60,000/yr — confirm on course page)",None found (no Tunisian-eligible full scheme),UNVERIFIED,UNVERIFIED,Y (program admission),Check,UNVERIFIED (English via IELTS/TOEFL/PTE required for non-native speakers; confirm bands on course page),UNVERIFIED,UNVERIFIED (Semester 1 / Semester 2 intakes),https://www.sydney.edu.au/courses/courses/pc/master-of-interaction-design-and-electronic-arts-audio-and-acoustics.html,"Interactive sound / spatial audio / acoustics for entertainment and spaces — strong computing overlap with a software-engineering background, though more audio-tech/interaction than DJ performance.",Unverified,verification agent returned nothing
"Postgraduate music (Digital Music Composition / Master of Music Studies — production, synthesis, spatial audio)",University of Sydney (Sydney Conservatorium of Music),Australia,Public,Sound/Music-Tech,English,"~AUD 39,000-41,500/yr (Master of Music Studies Performance figure; confirm exact program) — UNVERIFIED for tech stream",None found (no Tunisian-eligible full scheme),UNVERIFIED,UNVERIFIED,Y (program admission),Y (audition/portfolio for music programs),"Relevant bachelor + audition/portfolio; IELTS ~6.5-7.0 typical (confirm). Uses Ableton Live, Logic Pro, Max MSP, modular synths",UNVERIFIED,UNVERIFIED (confirm on postgraduate courses & admission page),https://www.sydney.edu.au/music/study-music/postgraduate-courses-and-admission.html,"Production-oriented: electronic music, synthesis, spatial audio in pro studios — good DJ/producer skills fit. Verify whether a stand-alone tech-focused master exists vs. performance track, and exact fees.",Unverified,verification agent returned nothing
Master of Music (Interactive Composition / Composition — Research),University of Melbourne (Melbourne Conservatorium of Music),Australia,Public,Sound/Music-Tech,English,UNVERIFIED (research degree; confirm on Melbourne fees page),Melbourne International Research Scholarships (MIRS) / Fee Remission (MIFRS) — research students,Partial-to-Full possible (competitive research scholarships),MIRS can cover stipend + fee remission for research candidates (UNVERIFIED amounts),"Y (program admission; scholarships merit-based, not nationality-restricted)",Y (creative folio required),"Research master: relevant bachelor/honours + portfolio/folio (60-minute folio of music/sound-based creative work); uses Max/MSP, Pure Data, SuperCollider, Unity; English (IELTS) required",UNVERIFIED,UNVERIFIED,https://handbook.unimelb.edu.au/2026/courses/mr-musres/course-structure,"Now a RESEARCH master (folio-based), not coursework — heavy on interactive/creative-coding, excellent CS overlap, and research scholarships (MIRS/MIFRS) are the realistic full-funding route here. Less about club DJ performance.",Unverified,verification agent returned nothing
Master of Music (MMus) — specialisations incl. Composition and Music Technology/Production,University of Auckland,New Zealand,Public,Sound/Music-Tech,English,"NZ$47,221 per year (2026)",UoA Postgraduate scholarships for international students (merit); Manaaki NZ NOT open to Tunisia,Partial possible (university scholarships); no full national scheme for Tunisians,UNVERIFIED,Y (program admission),Y (audition portfolio; interview may follow),Bachelor of Music (Hons) or PG Diploma in Music with GPA/GPE 4.0-5.0; IELTS Academic 6.5 (no band <6.0); audition portfolio required,UNVERIFIED,PRIOR CYCLE - confirm new date (Sem 1 2026 was 8 Dec 2025; Sem 2 2026 was 8 Jun 2026; 2027 Sem 1 starts 1 Mar 2027),https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-music-mmus.html,Entry expects a music (Hons) background — a pure software-engineering BSc may need a strong production portfolio to satisfy the music-degree prerequisite. Music-technology/production specialisation fits the producer goal.,Unverified,verification agent returned nothing
Master of Creative Industries (audio / music electives available),"SAE Creative Media Institute (University College), Sydney/Melbourne/Brisbane etc.",Australia,Private,Sound-Design/Production,English,UNVERIFIED (confirm on SAE course page),SAE merit/creativity scholarships (some need-based) — check,Partial possible (institutional),UNVERIFIED,Y (program admission),Check,Aimed at those with a creative-media qualification or industry experience; module choice across disciplines incl. Audio and Music; English requirement UNVERIFIED,UNVERIFIED,UNVERIFIED,https://sae.edu.au/,"Industry-focused, project-based; audio + music-business electives suit a producer/DJ pathway and network-building. Private provider — verify fees and whether a defined audio specialisation exists at master's level.",Unverified,verification agent returned nothing
Orange Tulip Scholarship (OTS) — funding scheme,Nuffic Neso (Netherlands Education Support Offices),Netherlands,Consortium,General-Business/MBA,English,N/A (funding scheme),Orange Tulip Scholarship,Partial to Full (varies),Varies by sponsor/university,N,N,"Only open to residents/nationals of Neso countries (Brazil, China, India, Indonesia, Mexico, Vietnam, South Korea, Turkey, Russia, etc.). Tunisia has no Neso office",Varies by Neso country,N/A for this candidate,https://en.wikipedia.org/wiki/Orange_Tulip_Scholarship,NOT available to Tunisians — OTS is limited to Neso countries and Tunisia is not one. Exclude from this candidate's plan.,Unverified,verification agent returned nothing
MENA Scholarship Programme (MSP) — short-course/professional training funding,Dutch institutions (via Nuffic / Dutch government),Netherlands,Consortium,General-Business/MBA,English,N/A,MENA Scholarship Programme (MSP),Full (for eligible short courses),Course fee + living/travel for short courses (UNVERIFIED specifics),Y (Tunisia is an MSP country),N,"Tunisian professionals up to age 45; aimed at mid-career 'impact makers'; 50% of country places reserved for women. For short courses, not degree programs",UNVERIFIED,PRIOR CYCLE - confirm new date,https://www.studyinnl.org/finances/mena-scholarship-programme-msp/msp-tunisia,"Tunisia IS eligible, but MSP funds short professional courses, not a full master's — so it does not fund the primary Sept-2027 master's goal. Possible add-on for a specific short audio/business course only.",Unverified,verification agent returned nothing
"Music Technology, Master of Music",University of the Arts Helsinki — Sibelius Academy,Finland,Conservatory,Sound/Music-Tech,English (and Finnish/Swedish options),"EUR 28,000 / year (non-EU/EEA, English-taught, from Aug 2026)",Uniarts Helsinki scholarships (limited) — confirm,UNVERIFIED (limited scholarships; largely self-pay for non-EU),UNVERIFIED,Y,Y,Entrance exam/audition + portfolio typical for conservatory; relevant background in music technology.,UNVERIFIED,PRIOR CYCLE - confirm new date; conservatory entrance applications usually cluster Nov–Jan,https://www.uniarts.fi/en/study-programmes/music-technology-bachelor-and-master/,Prestige conservatory music-tech program; strong for production/network but high tuition and limited funding — treat as self-pay fallback unless a scheme covers it.,Unverified,verification agent returned nothing
"Creative Music Technology, MSc (2-yr)",Norwegian University of Science and Technology (NTNU),Norway,Public,Sound/Music-Tech,Check (English-taught master; some Norwegian context),"NOK 198,800 / academic year (2025/2026, non-EU/EEA)",None found (NTNU does not offer tuition-covering scholarships),None,"None — self-financed; must document ~NOK 151,690/yr living funds for visa",Y,N,"Bachelor with music-technology specialization (>=80 ECTS), min C average; mandatory programming pre-course if lacking. 1-page motivation letter. NOTE: a pure software-engineering BSc may NOT meet the 80-ECTS music-tech prerequisite — verify.",UNVERIFIED,PRIOR CYCLE - confirm new date; non-EU/EEA deadline 1 December,https://www.ntnu.edu/studies/mmust/admission,Topically ideal but two blockers: (1) no scholarships = full self-pay; (2) requires a music-tech-heavy bachelor the candidate likely lacks. Fallback only.,Unverified,verification agent returned nothing
First Master's at a Swiss University of the Arts / Music (conservatory) — Art Scholarship stream,"Swiss art schools / conservatories (e.g., ZHdK, HEM Geneva, HKB Bern)",Switzerland,Conservatory,Sound/Music-Tech,Check (German/French/English depending on school),UNVERIFIED,Swiss Government Excellence Scholarships (ESKAS) — Art Scholarship,UNVERIFIED (art scholarship funds a first master; coverage details published Aug 2026),UNVERIFIED (monthly stipend + fees typical for ESKAS; art-stream specifics not yet published),Check — the ART scholarship is open to a LIMITED list of countries; Tunisia's inclusion is NOT confirmed. Verify on the official country list when 2027/28 call opens (email sgs@sbfi.admin.ch).,Y,Bachelor completed by 31 July 2027; born after 31 Dec 1991; must not already hold a master; admission/application proof to a Swiss art or music university.,20 August 2026,"PRIOR CYCLE - confirm new date; applications open 20 August 2026, deadline published Aug 2026 (typically ~Dec 2026)",https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,Potentially strong for music/production at a top conservatory IF Tunisia is on the art-stream list — that eligibility is the key unknown to verify.,Unverified,verification agent returned nothing
Master's in a development-related field (any accredited university worldwide),Any accredited university (student's choice),Austria-administered (study anywhere),Consortium,General-Business/MBA (development-related),Programme-dependent,Covered when active,OPEC Fund (formerly OFID) Scholarship Award,"UNVERIFIED — programme currently paused/restructuring, NOT accepting new applications as of early 2026",When active: full tuition + monthly living allowance + round-trip airfare + health insurance + relocation grant (1 year),Check (historically open to developing countries; Tunisia typically eligible — confirm if/when reopened),N,"Young students from developing countries, development-related master's field. Requirements to be reconfirmed at relaunch.",UNVERIFIED,UNVERIFIED — no open call; monitor official site for relaunch,https://opecfund.org/what-we-offer/special-initiatives/scholarship,"Currently NOT open (restructuring). Music/production is not a development field, so weak topical fit anyway. Watch for reopening; low priority.",Unverified,verification agent returned nothing
Master in Sound and Music Computing (SMC),"Universitat Pompeu Fabra (UPF), Music Technology Group",Spain,Public,Sound/Music-Tech,English,"~EUR 5,750 first year for non-EU (+ ~EUR 218 credential-verification charge); official UPF master price page — confirm 2027-28",None found program-specific; check UPF/general Spanish grants,None found (program-specific); UNVERIFIED,UNVERIFIED,Y,N (motivation letter + CV; no artistic portfolio),"Bachelor in relevant field; CV, motivation letter (600-800 words) in English, 1 academic recommendation, transcript. Signal-processing/ML heavy — CS background is a strong asset.",Typically autumn/winter; UNVERIFIED for Sept-2027,PRIOR CYCLE - confirm new date (2026-27 cycle apps opened ~late 2025; MTG news page),https://www.upf.edu/web/smc,"Flagship SMC program; audio DSP + ML + MIR, ideal leverage of software-engineering degree; less DJ-performance, strong for production-tech and research.",Unverified,verification agent returned nothing
MSc in Engineering — Sound and Music Computing,"Aalborg University (AAU), Copenhagen",Denmark,Public,Sound/Music-Tech,English,"Non-EU/EEA pay tuition (~EUR 13,800-15,000/yr per aggregators) - confirm on AAU finance page; EU free",Danish Govt/Cultural Agreement scholarships (limited) - check AAU,UNVERIFIED,UNVERIFIED,Y,N (engineering program),"Bachelor with comparable prerequisites (assessed by Board of Studies); English documentation required; entry-restricted in Copenhagen. Engineering/problem-based, strong programming component.",UNVERIFIED for Sept-2027,PRIOR CYCLE - confirm new date (non-EU deadline typically ~1 Dec/mid-Jan for Sept intake),https://www.en.aau.dk/education/master/medialogy-cph/sound-and-music-computing,Hands-on engineering + interactive audio systems; PBL model suits software builders; non-EU tuition applies and program is entry-restricted.,Unverified,verification agent returned nothing
